playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2540160","null","Jordan Reed","TE","WAS","TE","WAS","41.1119","189.4106","null","40.2","37","2","null","null","23.3729","35.995","1.005","17","195.9957","181.76","7.4933","null",
"2533031","null","Andrew Luck","QB","IND","QB","IND","37.2345","318.4234","null","51.4","38","4","null","null","19.8167","50.1","-12.1","26","343.5594","294.9503","6.2131","null",
"497326","null","Golden Tate","WR","DET","WR","DET","37.2059","189.6248","null","45.3","39","21","null","null","2.1815","45.345","-6.345","17","197.7849","166.9828","4.0082","null",
"80429","null","Jeremy Maclin","WR","KC","WR","KC","35.4647","187.8836","null","38.7","40","22","null","null","1.5271","42.325","-2.325","16","193.5842","162.64","4.0767","null",
"2530747","null","Doug Baldwin","WR","SEA","WR","SEA","34.5841","187.0029","null","51.1","41","23","null","null","2.4077","49.085","-8.085","16","205.141","168.3314","4.3979","null",
"2540269","null","C.J. Anderson","RB","DEN","RB","DEN","34.3692","187.5532","null","30.1","42","13","null","null","5.2011","35.405","6.595","19","196.5346","165.21","5.5575","null",
"2543614","null","Donte Moncrief","WR","IND","WR","IND","33.2911","185.71","null","48","43","24","null","null","4.1292","42.735","0.265","15","194.1912","179.1158","3.7216","null",
"234","null","Matt Forte","RB","NYJ","RB","NYJ","33.0689","186.2529","null","42.8","44","14","null","null","8.3178","44.96","-0.96","19","195.8197","163.8886","4.928","null",
"238498","null","Julian Edelman","WR","NE","WR","NE","31.0615","183.4804","null","42.8","45","25","null","null","5.5198","38.87","6.13","18","196.3147","155.1832","7.4678","null",
"2506106","null","Larry Fitzgerald","WR","ARI","WR","ARI","27.2624","179.6812","null","58.7","46","26","null","null","4.491","60.245","-14.245","13","188.8492","157.98","3.8961","null",
"2541161","null","Latavius Murray","RB","OAK","RB","OAK","25.2673","178.4513","null","40.2","47","15","null","null","2.0199","40.025","6.975","16","189.9763","162.106","6.1965","null",
"2495207","null","DeMarco Murray","RB","TEN","RB","TEN","24.235","177.419","null","49","48","16","null","null","2.1112","43.985","4.015","17","193.1943","152.65","6.3832","null",
"2543471","null","Kelvin Benjamin","WR","CAR","WR","CAR","23.8211","176.2399","null","58.7","49","27","null","null","5.1189","41.78","7.22","20","181.3458","163.9243","6.5139","null",
"2495700","null","Greg Olsen","TE","CAR","TE","CAR","23.2733","171.572","null","47.1","50","3","null","null","14.2695","47.61","2.39","15","181.8622","141.49","3.778","null",
"2553733","null","Thomas Rawls","RB","SEA","RB","SEA","22.2598","175.4438","null","48.5","51","17","null","null","1.4526","42.515","8.485","18","196.4175","153.3468","5.8842","null",
"2504775","null","Drew Brees","QB","NO","QB","NO","22.0352","303.2241","null","57.7","52","5","null","null","9.8222","57.21","-5.21","15","317.8119","284.0703","3.1992","null",
"2543743","null","Carlos Hyde","RB","SF","RB","SF","21.9877","175.1717","null","41.2","53","18","null","null","3.5059","45.41","7.59","17","185.7316","153.0885","7.4049","null",
"2532841","null","Michael Floyd","WR","ARI","WR","ARI","21.7216","174.1405","null","57","54","28","null","null","6.3096","55.52","-1.52","12","184.7733","160.8","5.6132","null",
"2552379","null","Jeremy Langford","RB","CHI","RB","CHI","19.6269","172.8108","null","59.6","55","19","null","null","4.7312","52.63","2.37","13","187.9256","158.25","4.3154","null",
"4327","null","Danny Woodhead","RB","SD","RB","SD","17.3368","170.5208","null","64.4","56","20","null","null","6.008","63.92","-7.92","8","189.7149","149.77","4.785","null",
"71269","null","Michael Crabtree","WR","OAK","WR","OAK","15.6828","168.1017","null","74.7","57","29","null","null","0.9888","82.115","-25.115","9","183.4446","155.5","4.0406","null",
"2543500","null","Jordan Matthews","WR","PHI","WR","PHI","15.1412","167.56","null","59.2","58","30","null","null","1.7891","64.92","-6.92","13","176.1963","142.9977","4.1758","64",
"497322","null","Emmanuel Sanders","WR","DEN","WR","DEN","14.2468","166.6656","null","67","59","31","null","null","3.5514","71.95","-12.95","12","191.4806","136.9351","6.5477","44",
"2543477","null","Blake Bortles","QB","JAC","QB","JAC","12.8003","293.9893","null","88.4","60","6","null","null","3.5877","82.92","-22.92","13","309.3617","268.5005","5.1495","null",
"2552430","null","Tyler Lockett","WR","SEA","WR","SEA","12.4574","164.8762","null","76.4","61","32","null","null","4.5079","73.41","-12.41","12","175.1543","149.2014","4.1559","63",
"2543603","null","Jeremy Hill","RB","CIN","RB","CIN","12.4546","165.6386","null","52.9","62","21","null","null","2.5959","55.125","6.875","12","177.2588","141.55","4.1919","null",
"2495966","null","Delanie Walker","TE","TEN","TE","TEN","12.2048","160.5035","null","64.3","63","4","null","null","6.6056","66.59","-3.59","10","171.3109","149.4197","3.6276","null",
"2506109","null","Ben Roethlisberger","QB","PIT","QB","PIT","11.6256","292.8145","null","71","64","7","null","null","6.804","65.915","-1.915","13","301.816","277.2405","4.9603","null",
"949","null","Jonathan Stewart","RB","CAR","RB","CAR","10.203","163.387","null","60.8","65","22","null","null","2.629","67.205","-2.205","11","172.2593","146.8","5.4221","null",
"2552469","null","Melvin Gordon","RB","SD","RB","SD","9.5144","162.6983","null","66.8","66","23","null","null","4.0922","60.46","5.54","13","164.7956","152.7","8.9202","null",
"2543847","null","John Brown","WR","ARI","WR","ARI","8.9335","161.3523","null","71","67","33","null","null","2.3723","79.08","-12.08","10","178.1832","141.7164","4.159","62",
"2532884","null","Marvin Jones","WR","DET","WR","DET","6.9656","159.3844","null","68.3","68","34","null","null","1.6036","66.7","1.3","9","172.8907","135.9179","6.1342","56",
"2506121","null","Philip Rivers","QB","SD","QB","SD","6.7997","287.9886","null","91","69","8","null","null","4.7233","98.01","-29.01","8","299.287","267.4005","3.5677","null",
"1581","null","DeSean Jackson","WR","WAS","WR","WAS","6.1568","158.5756","null","79.5","70","35","null","null","3.5645","84.375","-14.375","7","173.2371","133.7552","5.932","60",
