playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2505459","null","Josh Brown","K","NYG","K","NYG","-29.9723","127.0564","null","216","154","15","null","null","0.1951","193.9","-39.9","0","130.9447","121.7139","5.463","6",
"2507401","null","Dan Carpenter","K","BUF","K","BUF","-29.9848","127.044","null","null","155","16","null","null","0.4797","204.18","-49.18","0","131.7948","122.1904","4.5742","18",
"2495139","null","Charles Clay","TE","BUF","TE","BUF","-30.0806","118.218","null","151.6","156","16","null","null","3.3945","166.39","-10.39","2","126.1692","105.867","4.9395","22",
"2504797","null","Matt Bryant","K","ATL","K","ATL","-30.35","126.6788","null","222","157","17","null","null","0.8256","200.21","-43.21","0","133.0034","116.3388","4.1106","21",
"2495328","null","Bilal Powell","RB","NYJ","RB","NYJ","-30.3982","122.7858","null","109.9","158","39","null","null","2.4713","121.035","36.965","3","139.2678","108.4","4.3765","33",
"2543466","null","Eric Ebron","TE","DET","TE","DET","-30.4538","117.8449","null","127.8","159","17","null","null","9.5294","144.58","14.42","4","123.8238","98.5359","5.1589","23",
"100011","null","Packers","DST","GB","DST","GB","-30.4686","116.4179","null","204.1","160","12","null","null","2.6857","170.6","-10.6","1","122.8903","105.2","2.3952","24",
"2507763","null","Mike Wallace","WR","BAL","WR","BAL","-30.5134","121.9054","null","143.4","161","54","null","null","2.2772","160.49","0.51","2","134.4689","94.65","4.8058","38",
"2507225","null","Nick Folk","K","NYJ","K","NYJ","-30.579","126.4498","null","null","162","18","null","null","2.0893","204.94","-42.94","0","133.6593","112.1775","4.9673","12",
"2506386","null","Mike Nugent","K","CIN","K","CIN","-31.7721","125.2566","null","null","163","19","null","null","2.4307","203.92","-40.92","0","130.2181","114.6","3.4084","25",
"2555346","null","Will Fuller","WR","HOU","WR","HOU","-31.9663","120.4525","null","156.2","164","55","null","null","2.2528","135.435","28.565","4","134.9091","81.8329","5.4661","23",
"2495473","null","Shane Vereen","RB","NYG","RB","NYG","-32.4255","120.7585","null","144.4","165","40","null","null","2.7624","162.125","2.875","2","125.5979","112.4138","4.175","42",
"100025","null","Eagles","DST","PHI","DST","PHI","-33.1331","113.7533","null","197","166","13","null","null","0.1417","181.1","-15.1","1","118.9169","107.2","3.0953","23",
"100015","null","Jaguars","DST","JAC","DST","JAC","-33.1754","113.711","null","208","167","14","null","null","0.7148","189.17","-22.17","1","119.6072","104.2","3.5147","20",
"2495979","null","DeAngelo Williams","RB","PIT","RB","PIT","-33.3134","119.8706","null","104.5","168","41","null","null","6.3062","77.18","90.82","6","126.2956","96.082","4.2968","38",
"100018","null","Raiders","DST","OAK","DST","OAK","-33.3743","113.5121","null","189.2","169","15","null","null","1.8072","180.7","-11.7","1","117.4301","106.2","5.127","15",
"2495824","null","Jay Cutler","QB","CHI","QB","CHI","-33.4463","247.7426","null","163.9","170","23","null","null","5.6462","176.54","-6.54","4","256.7927","235.2554","5.0575","24",
"2539227","null","Dustin Hopkins","K","WAS","K","WAS","-33.5645","123.4643","null","null","171","20","null","null","2.2243","211.21","-40.21","0","129.3268","117.6","4.4333","19",
"2556370","null","Michael Thomas","WR","NO","WR","NO","-33.6149","118.8039","null","131.2","172","56","null","null","2.0481","121.71","50.29","6","143.0582","77.7942","5.7863","37",
"100032","null","Redskins","DST","WAS","DST","WAS","-34.4062","112.4802","null","177.5","173","16","null","null","3.0459","198.49","-25.49","1","125.6714","92.2","7.8939","3",
"2552458","null","Devin Funchess","WR","CAR","WR","CAR","-34.8233","117.5955","null","120.1","174","57","null","null","3.0714","104.79","69.21","5","129.4271","75.3459","6.67","35",
"2553833","null","Josh Lambo","K","SD","K","SD","-34.8412","122.1876","null","null","175","21","null","null","2.0489","208.31","-33.31","1","128.2096","113.4531","3.3872","26",
"100014","null","Colts","DST","IND","DST","IND","-35.9567","110.9297","null","null","176","17","null","null","3.4063","200.22","-24.22","0","126.8034","96","8.969","1",
"497236","null","Jimmy Graham","TE","SEA","TE","SEA","-36.4964","111.8022","null","138.6","177","18","null","null","8.387","130.135","46.865","6","122.7501","78.2724","5.9574","9",
"2552424","null","Phillip Dorsett","WR","IND","WR","IND","-36.5027","115.9161","null","135.2","178","58","null","null","3.3052","150.765","27.235","3","129.5435","95.5181","4.4408","59",
"2504257","null","Sebastian Janikowski","K","OAK","K","OAK","-36.7364","120.2924","null","null","179","22","null","null","0.7229","192.59","-13.59","1","128.5021","107.1","4.7188","14",
"2555408","null","Roberto Aguayo","K","TB","K","TB","-37.0439","119.9849","null","214","180","23","null","null","2.0734","188.01","-8.01","1","124.6264","104.5","5.3313","7",
"2506467","null","Darren Sproles","RB","PHI","RB","PHI","-37.0623","116.1217","null","138.4","181","42","null","null","7.311","130.335","50.665","2","123.2975","102.7","4.1722","34",
"2504211","null","Tom Brady","QB","NE","QB","NE","-37.7152","243.4737","null","null","182","24","null","null","10.0533","68.735","113.265","15","251.7936","229.78","3.7686","17",
"2506194","null","Nick Novak","K","HOU","K","HOU","-37.8747","119.1541","null","227.5","183","24","null","null","2.9052","null","null","0","131.1268","93.9","4.9699","11",
"100031","null","Buccaneers","DST","TB","DST","TB","-38.9475","107.9389","null","284","184","18","null","null","0.9612","205.43","-21.43","0","117.9581","84.6","5.2191","14",
"2555466","null","Tyler Boyd","WR","CIN","WR","CIN","-39.2868","113.132","null","145.3","185","59","null","null","2.4547","139.36","45.64","4","137.2786","81.4073","5.9599","29",
"100010","null","Lions","DST","DET","DST","DET","-39.7785","107.1079","null","220","186","19","null","null","1.5283","213.56","-27.56","1","121.0033","86.6","4.8673","18",
"100024","null","Jets","DST","NYJ","DST","NYJ","-40.039","106.8474","null","187.5","187","20","null","null","4.0257","173.03","13.97","1","118.955","88.9","5.1228","16",
"2539205","null","Terrance Williams","WR","DAL","WR","DAL","-40.3289","112.0899","null","161.6","188","60","null","null","3.0625","182.7","5.3","2","118.9743","103.5","3.8669","65",
"2553112","null","Jason Myers","K","JAC","K","JAC","-40.3601","116.6687","null","null","189","25","null","null","1.4023","null","null","0","121.8546","104.4","4.4277","20",
"2533436","null","Brock Osweiler","QB","HOU","QB","HOU","-40.4698","240.7191","null","181.9","190","25","null","null","20.5618","164.41","25.59","4","261.1793","199.52","4.8009","12",
"2500351","null","Phil Dawson","K","SF","K","SF","-41.1997","115.8291","null","null","191","26","null","null","6.0643","null","null","0","125.5392","104.7041","5.2742","8",
"2552582","null","Jay Ajayi","RB","MIA","RB","MIA","-42.1769","111.007","null","113.2","192","43","null","null","5.9181","117.87","74.13","7","128.1465","91.0952","7.4775","21",
"2534797","null","Greg Zuerlein","K","LA","K","LA","-42.3249","114.7039","null","null","193","27","null","null","11.049","null","null","1","119.7367","104.5","5.2453","9",
"100023","null","Giants","DST","NYG","DST","NYG","-42.5746","104.3118","null","189","194","21","null","null","3.9775","195.05","-1.05","1","117.1963","84.3","7.4463","4",
"2505587","null","Anquan Boldin","WR","DET","WR","DET","-43.1541","109.2647","null","155.3","195","61","null","null","0.5535","178.48","16.52","1","139.655","87.288","4.8014","24",
"71265","null","Jared Cook","TE","GB","TE","GB","-43.4701","104.8286","null","148.2","196","19","null","null","3.5775","140.41","55.59","2","118.5488","91.7","4.4698","15",
"2555214","null","Laquon Treadwell","WR","MIN","WR","MIN","-43.6286","108.7902","null","147","197","62","null","null","0.8023","133.21","63.79","9","134.3471","81.88","7.2822","11",
"2540169","null","Robert Woods","WR","BUF","WR","BUF","-43.7866","108.6322","null","184.6","198","63","null","null","2.2468","201.5","-3.5","1","126.6716","95.0912","5.2596","41",
"2555317","null","Tajae Sharpe","WR","TEN","WR","TEN","-45.0752","107.3437","null","139","199","64","null","null","2.0393","126.98","72.02","3","122.6462","65.9509","8.5412","4",
"100028","null","Chargers","DST","SD","DST","SD","-45.5546","101.3318","null","null","200","22","null","null","3.1829","null","null","0","110.8596","87.2","5.2726","13",
"2495438","null","Kyle Rudolph","TE","MIN","TE","MIN","-46.2968","102.0018","null","174.6","201","20","null","null","5.5218","177.27","23.73","2","110.7852","89.9","5.4733","18",
"2556075","null","Derrick Henry","RB","TEN","RB","TEN","-46.5695","106.6144","null","109.1","202","44","null","null","3.7769","83.49","118.51","9","118.9368","69.7243","5.491","19",
"2540202","null","Kenny Stills","WR","MIA","WR","MIA","-46.9918","105.4271","null","162.4","203","65","null","null","2.5618","163.395","39.605","1","123.8474","77.1611","7.2799","10",
"71217","null","Kenny Britt","WR","LA","WR","LA","-47.2372","105.1816","null","187.7","204","66","null","null","5.4227","215.75","-11.75","1","117.8297","92.4832","4.4012","48",
"100003","null","Bills","DST","BUF","DST","BUF","-47.5495","99.3369","null","188","205","23","null","null","2.6128","183.79","21.21","1","106.9922","76.5","5.8534","10",
"2552397","null","Clive Walford","TE","OAK","TE","OAK","-47.7983","100.5004","null","159.1","206","21","null","null","10.0846","172.09","33.91","3","108.5605","74.0548","4.8651","17",
"2543664","null","Terrance West","RB","BAL","RB","BAL","-49.6205","103.5634","null","149.1","207","45","null","null","1.4924","161.855","45.145","2","132.9347","76.04","6.5462","2",
"100005","null","Bears","DST","CHI","DST","CHI","-49.9255","96.9609","null","null","208","24","null","null","1.058","203.41","4.59","0","107.6023","86.1","5.7235","11",
"100012","null","Titans","DST","TEN","DST","TEN","-50.3992","96.4872","null","null","209","25","null","null","1.3975","null","null","0","110.9172","65.6","7.2067","6",
"2543773","null","James White","RB","NE","RB","NE","-51.0724","102.1115","null","126.3","210","46","null","null","1.3857","112.525","97.475","2","124.2616","72.0086","5.7631","9",
"497206","null","James Starks","RB","GB","RB","GB","-51.1535","102.0305","null","155.5","211","47","null","null","5.0446","159.105","51.895","2","116.2305","77.5201","4.9095","22",
"100019","null","Dolphins","DST","MIA","DST","MIA","-51.5678","95.3186","null","238.5","212","26","null","null","0.733","197.44","14.56","1","101.4337","73.6","6.7317","8",
"2507166","null","Ted Ginn","WR","CAR","WR","CAR","-51.8699","100.5489","null","171.4","213","67","null","null","2.7491","170.62","42.38","2","116.4419","83.5816","5.1696","49",
"100002","null","Ravens","DST","BAL","DST","BAL","-52.0257","94.8607","null","246","214","27","null","null","2.5349","194.98","19.02","0","108.3012","78.8","4.7276","19",
"2543533","null","Patrick Murray","K","CLE","K","CLE","-52.2031","104.8256","null","null","215","28","null","null","3.3225","null","null","null","117.5162","80.6","4.6745","16",
"100001","null","Falcons","DST","ATL","DST","ATL","-52.5758","94.3106","null","null","216","28","null","null","5.4884","null","null","0","108.5292","62.5","7.0262","7",
"2530515","null","Chris Hogan","WR","NE","WR","NE","-53.4499","98.9689","null","156.9","217","68","null","null","2.4628","150.155","66.845","3","118.0056","75.5035","6.1985","34",
"2555223","null","Devontae Booker","RB","DEN","RB","DEN","-53.7628","99.4211","null","155.2","218","48","null","null","6.2898","140.865","77.135","5","119.6416","79.3","6.0555","24",
"2553648","null","Andrew Franks","K","MIA","K","MIA","-54.5447","102.484","null","null","219","29","null","null","4.9944","null","null","0","116.2646","64.7","5.0172","10",
"2495441","null","Blaine Gabbert","QB","SF","QB","SF","-55.0671","226.1219","null","217.7","220","26","null","null","14.697","216.8","3.2","1","248.4385","186.2057","5.8022","11",
"2535698","null","Cole Beasley","WR","DAL","WR","DAL","-55.7881","96.6308","null","202.8","221","69","null","null","2.1741","221.04","-0.04","0","113.8185","77.6746","6.0115","39",
"2495267","null","Jordan Cameron","TE","MIA","TE","MIA","-55.839","92.4597","null","165.7","222","22","null","null","4.6473","185.27","36.73","1","105.2722","73.4","5.6658","11",
"2532887","null","Jermaine Kearse","WR","SEA","WR","SEA","-56.0375","96.3813","null","190","223","70","null","null","5.9727","210.3","12.7","1","114.2809","64.2221","6.8163","21",
"89802","null","Ryan Succop","K","TEN","K","TEN","-56.5066","100.5222","null","null","224","30","null","null","8.0481","null","null","0","110.6685","82.4","2.8187","28",
"100007","null","Browns","DST","CLE","DST","CLE","-56.5454","90.341","null","null","225","29","null","null","4.9071","null","null","0","104.9824","75.2","7.2451","5",
"2552453","null","Tevin Coleman","RB","ATL","RB","ATL","-58.6333","94.5506","null","124.1","226","49","null","null","3.0431","128.455","97.545","5","104.9559","66.4145","7.256","29",
"100008","null","Cowboys","DST","DAL","DST","DAL","-59.5829","87.3035","null","null","227","30","null","null","5.4783","198.88","28.12","1","99.9427","76","5.1065","17",
"2543495","null","Davante Adams","WR","GB","WR","GB","-59.8869","92.532","null","185.8","228","71","null","null","4.2922","176.55","51.45","2","118.9423","64.1832","6.1577","25",
"2540215","null","Vance McDonald","TE","SF","TE","SF","-59.9267","88.372","null","158.9","229","23","null","null","1.2362","178.19","50.81","1","101.612","78.1543","5.7175","10",
"2553830","null","Will Tye","TE","NYG","TE","NYG","-61.0459","87.2527","null","174.1","230","24","null","null","0.8564","188.81","41.19","1","113.3077","60.7","7.7144","2",
"2543794","null","Crockett Gillmore","TE","BAL","TE","BAL","-61.28","87.0187","null","208.2","231","25","null","null","1.262","null","null","0","102.8938","69.9111","6.0257","8",
"2540011","null","Chris Thompson","RB","WAS","RB","WAS","-61.4719","91.712","null","157","232","50","null","null","0.4471","180.92","51.08","1","102.0845","73.5","5.2125","27",
"2540204","null","Spencer Ware","RB","KC","RB","KC","-61.8809","91.303","null","129.5","233","51","null","null","1.4092","146.65","86.35","2","116.9476","55.0407","6.4895","6",
"2543715","null","Jerick McKinnon","RB","MIN","RB","MIN","-61.9572","91.2268","null","148.3","234","52","null","null","3.8824","151.67","82.33","4","105.373","72.6","4.4874","25",
"324","null","Jacob Tamme","TE","ATL","TE","ATL","-62.5247","85.774","null","207.1","235","26","null","null","0.5995","null","null","1","96.126","77.3","4.476","14",
"2495288","null","Virgil Green","TE","DEN","TE","DEN","-62.5592","85.7395","null","166.3","236","27","null","null","3.9278","181.28","54.72","1","98.4971","46.1938","6.3228","7",
"2539637","null","Caleb Sturgis","K","PHI","K","PHI","-62.5717","94.4571","null","null","237","31","null","null","5.8383","null","null","0","126.8131","0","7.9882","5",
"100029","null","49ers","DST","SF","DST","SF","-63.3222","83.5642","null","null","238","31","null","null","3.4778","null","null","0","99.3765","50.3","8.6231","2",
"2543481","null","Jace Amaro","TE","FA","TE","FA","-63.6892","84.6095","null","null","239","28","null","null","8.7014","null","null","1","88.7075","79.6","6.3522","19",
"2552600","null","Nelson Agholor","WR","PHI","WR","PHI","-64.1335","88.2853","null","174.6","240","72","null","null","0.5202","185.38","54.62","3","109.1191","54.5","8.5652","17",
"2532977","null","Kendall Wright","WR","TEN","WR","TEN","-64.2246","88.1942","null","157.4","241","73","null","null","1.2048","199.13","41.87","2","113.2202","57.73","5.9932","19",
"2552631","null","Javorius Allen","RB","BAL","RB","BAL","-64.6231","88.5609","null","150.6","242","53","null","null","2.4608","177.21","64.79","3","97.7569","78.15","5.17","28",
"497302","null","Brandon LaFell","WR","CIN","WR","CIN","-65.0827","87.3361","null","184.3","243","74","null","null","0.9527","222.09","20.91","1","104.5233","62.4126","5.2942","31",
"2552415","null","Jamison Crowder","WR","WAS","WR","WAS","-65.7762","86.6426","null","184.1","244","75","null","null","0.6415","202.45","41.55","1","110.4628","61.11","6.9928","18",
"2552491","null","Dorial Green-Beckham","WR","PHI","WR","PHI","-66.2946","86.1242","null","156.6","245","76","null","null","1.5991","157.7","87.3","6","111.5591","63.1937","6.5851","12",
"2495150","null","Kai Forbath","K","NO","K","NO","-66.5377","90.4911","null","null","246","32","null","null","17.7707","null","null","1","121.7156","0","9.1672","2",
"2550597","null","Seth Roberts","WR","OAK","WR","OAK","-66.5408","85.878","null","200.9","247","77","null","null","3.9403","null","null","1","92.4814","76.7891","4.8683","55",
"100022","null","Saints","DST","NO","DST","NO","-66.8","80.0864","null","null","248","32","null","null","null","null","null","0","114.9922","72.8","6.4295","9",
"2533033","null","Robert Griffin","QB","CLE","QB","CLE","-66.9963","214.1926","null","171.3","249","27","null","null","34.6365","172.75","76.25","3","240.9279","135.9","7.6827","10",
"2495461","null","Shaun Draughn","RB","SF","RB","SF","-67.0561","86.1278","null","167.5","250","54","null","null","0.3346","190.12","59.88","1","106.1469","62.7262","7.4662","12",
"2495469","null","Dion Lewis","RB","NE","RB","NE","-67.1116","86.0724","null","143.4","251","55","null","null","1.879","142.6","108.4","11","104.3543","47.648","7.0093","4",
"497204","null","C.J. Spiller","RB","NO","RB","NO","-67.67","85.514","null","180.3","252","56","null","null","3.1","192.94","59.06","2","100.8994","69.319","6.1545","14",
"2539250","null","Quinton Patton","WR","SF","WR","SF","-69.2466","83.1722","null","203.6","253","78","null","null","2.5645","null","null","0","97.5845","58.2284","4.9828","33",
"2543683","null","Austin Seferian-Jenkins","TE","TB","TE","TB","-69.2848","79.0139","null","165.6","254","29","null","null","6.4964","166.29","87.71","3","92.1535","54.9468","7.3485","12",
"2550380","null","Cody Parkey","K","FA","K","FA","-70.2824","86.7464","null","null","255","33","null","null","33.2545","null","null","0","115.8456","0","10.6122","1",
"2555229","null","Kenneth Dixon","RB","BAL","RB","BAL","-70.3112","82.8728","null","150.5","256","57","null","null","1.7051","163.03","92.97","4","113.292","29.81","9.1373","3",
"2555464","null","DeAndre Washington","RB","OAK","RB","OAK","-71.2289","81.9551","null","147.2","257","58","null","null","2.8525","136.71","120.29","3","101.3783","54.2037","6.4278","18",
"2552470","null","Sammie Coates","WR","PIT","WR","PIT","-71.7156","80.7033","null","159.2","258","79","null","null","0.6175","147.63","110.37","5","100.209","49.6841","6.6554","27",
"2553737","null","Eli Rogers","WR","PIT","WR","PIT","-71.9068","80.5121","null","177","259","80","null","null","0.8917","190.69","68.31","1","113.5102","38.4799","8.2099","8",
"497095","null","Sam Bradford","QB","MIN","QB","MIN","-72.5319","208.657","null","203.4","260","28","null","null","63.5704","192.5","67.5","2","234.4911","187.9949","7.9429","15",
"2552463","null","Jaelen Strong","WR","HOU","WR","HOU","-72.7593","79.6595","null","196.8","261","81","null","null","0.3854","199.5","61.5","1","103.3678","51.9","7.6323","15",
"4383","null","Tim Hightower","RB","NO","RB","NO","-72.8036","80.3804","null","178.3","262","59","null","null","2.6594","193.15","68.85","1","111.3821","56.4309","7.3969","13",
"1990","null","Eddie Royal","WR","CHI","WR","CHI","-72.8377","79.5812","null","214.7","263","82","null","null","1.5021","null","null","0","101.6226","54.51","6.6776","26",
"2552652","null","Chris Conley","WR","KC","WR","KC","-73.4518","78.967","null","187.7","264","83","null","null","1.7805","207.41","56.59","1","96.1238","44.5661","8.3987","6",
"2555348","null","Braxton Miller","WR","HOU","WR","HOU","-75.2278","77.191","null","207.7","265","84","null","null","0.3476","188.57","76.43","2","102.9773","19.8629","7.231","2",
"2495341","null","Cecil Shorts","WR","FA","WR","FA","-75.2368","77.182","null","null","266","85","null","null","1.3436","null","null","0","84.3948","65.75","6.6683","57",
"2541544","null","Benny Cunningham","RB","LA","RB","LA","-75.3593","77.8247","null","182.6","267","60","null","null","3.508","215.47","51.53","0","96.8434","62.43","6.2379","20",
"2550656","null","Cameron Brate","TE","TB","TE","TB","-75.4964","72.8023","null","193.7","268","30","null","null","2.1296","233.5","34.5","1","100.7895","36.4751","7.0403","6",
"2539322","null","Christine Michael","RB","SEA","RB","SEA","-75.5667","77.6173","null","139.4","269","61","null","null","8.0298","118.095","150.905","2","102.973","44.5431","5.4657","11",
"2552597","null","Breshad Perriman","WR","BAL","WR","BAL","-75.914","76.5048","null","176.2","270","86","null","null","2.4903","171.6","98.4","4","88.6687","43.5777","7.3502","30",
"2552633","null","Jesse James","TE","PIT","TE","PIT","-76.0659","72.2327","null","179","271","31","null","null","4.3413","193.48","77.52","1","90.7766","35.6425","7.3111","5",
"2550272","null","Albert Wilson","WR","KC","WR","KC","-77.2468","75.172","null","239.3","272","87","null","null","3.5271","null","null","0","100.7777","51.3579","6.0762","36",
"2550313","null","Richard Rodgers","TE","GB","TE","GB","-79.1861","69.1126","null","201.4","273","32","null","null","2.4529","188.1","84.9","1","90.6302","40","7.8365","1",
"2552418","null","Justin Hardy","WR","ATL","WR","ATL","-79.5617","72.8571","null","207","274","88","null","null","2.5621","null","null","1","92.9234","49.8646","5.4559","20",
"2532853","null","Ladarius Green","TE","PIT","TE","PIT","-81.6283","66.6704","null","159","275","33","null","null","0.6046","null","null","6","75.4851","44.2","7.9263","null",
"2495187","null","Lance Kendricks","TE","LA","TE","LA","-81.6497","66.649","null","225.4","276","34","null","null","4.4673","null","null","1","79.6309","52.1577","4.854","null",
"2555343","null","Josh Doctson","WR","WAS","WR","WAS","-81.9861","70.4327","null","169.4","277","89","null","null","2.4925","160.11","116.89","7","92.2456","18.47","7.9982","16",
"2555417","null","C.J. Prosise","RB","SEA","RB","SEA","-82.1678","71.0162","null","150.5","278","62","null","null","3.413","165.42","112.58","4","80.4353","51.95","7.563","23",
"2649","null","Danny Amendola","WR","NE","WR","NE","-82.2615","70.1574","null","204.9","279","90","null","null","5.1998","204.1","74.9","1","96.8117","24.44","6.6637","3",
"2537933","null","Larry Donnell","TE","NYG","TE","NYG","-82.8161","65.4826","null","197.9","280","35","null","null","8.1868","null","null","0","79.4822","47.4496","5.3178","null",
"2555418","null","Jordan Howard","RB","CHI","RB","CHI","-85.0251","68.1588","null","166.2","281","63","null","null","1.7082","174.83","106.17","3","84.3988","46","7.6441","16",
"262","null","Chris Johnson","RB","ARI","RB","ARI","-86.1364","67.0476","null","167.1","282","64","null","null","2.1282","168.17","113.83","2","96.0081","48.82","5.2201","15",
"2507855","null","Victor Cruz","WR","NYG","WR","NYG","-86.6957","65.7231","null","207","283","91","null","null","1.8548","168.285","114.715","2","94.5537","37.7323","7.3416","7",
"2533437","null","Ronnie Hillman","RB","FA","RB","FA","-87.3303","65.8537","null","193.1","284","65","null","null","1.9333","211.5","72.5","1","100.8681","29.44","8.0593","1",
"2555419","null","Pharoh Cooper","WR","LA","WR","LA","-88.2267","64.1921","null","217.4","285","92","null","null","1.0826","209.45","75.55","1","91.2605","24.9905","8.209","9",
"2530700","null","Dontrelle Inman","WR","SD","WR","SD","-88.8744","63.5444","null","null","286","93","null","null","2.7754","null","null","0","97.2176","34.9352","9.4026","1",
"2543551","null","KaDeem Carey","RB","CHI","RB","CHI","-89.1989","63.9851","null","208.8","287","66","null","null","0.6833","null","null","1","83.4797","46.4337","5.0251","17",
"2506874","null","Reggie Bush","RB","BUF","RB","BUF","-89.3283","63.8557","null","180.1","288","67","null","null","1.7841","210.39","77.61","0","78.9213","39.4811","6.1335","null",
"2540928","null","Darren Fells","TE","ARI","TE","ARI","-89.4179","58.8808","null","256.5","289","36","null","null","3.3196","null","null","0","68.3184","47.55","6.2246","null",
"2532978","null","Jarius Wright","WR","MIN","WR","MIN","-89.744","62.6748","null","null","290","94","null","null","4.6415","null","null","0","79.3984","39.3823","5.8068","null",
"2556414","null","Rob Kelley","RB","WAS","RB","WAS","-90.4361","62.7479","null","null","291","68","null","null","2.45","199.96","91.04","1","75.1301","5.6784","10.4365","null",
"2555460","null","Paul Perkins","RB","NYG","RB","NYG","-91.7888","61.3951","null","189","292","69","null","null","2.3243","177.74","114.26","3","79.4934","5.7945","7.9815","null",
"2507218","null","Brent Celek","TE","PHI","TE","PHI","-92.588","55.7107","null","276","293","37","null","null","0.3133","null","null","0","73.1863","38.5594","5.9656","null",
"2555341","null","Hunter Henry","TE","SD","TE","SD","-92.8869","55.4118","null","216.6","294","38","null","null","0.422","187.95","106.05","3","74.1188","31.77","5.6248","null",
"2541316","null","Ryan Griffin","TE","HOU","TE","HOU","-92.9157","55.3829","null","259","295","39","null","null","2.292","null","null","0","66.7496","38.0183","6.0467","null",
"2543475","null","Marqise Lee","WR","JAC","WR","JAC","-93.5556","58.8633","null","213.3","296","95","null","null","1.9103","236.39","59.61","0","74.1302","41.43","7.7318","null",
"2534820","null","Garrett Celek","TE","SF","TE","SF","-93.7021","54.5966","null","237.3","297","40","null","null","3.0325","null","null","0","73.889","32.5557","6.6278","null",
"2533457","null","Alfred Morris","RB","DAL","RB","DAL","-93.9833","59.2006","null","172.2","298","70","null","null","0.5907","144.355","153.645","2","75.0401","42.6978","4.2253","null",
"497190","null","Dexter McCluster","RB","FA","RB","FA","-94.2429","58.9411","null","null","299","71","null","null","0.9256","null","null","0","74.3359","37.07","6.0108","null",
"2553631","null","Zach Zenner","RB","DET","RB","DET","-94.9051","58.2789","null","206.6","300","72","null","null","1.133","232.54","67.46","1","73.9312","38.1431","5.1918","null",
"2555215","null","Leonte Carroo","WR","MIA","WR","MIA","-95.2155","57.2033","null","216","301","96","null","null","1.0381","185.98","115.02","2","82.1494","34.0941","6.6232","14",
"2539217","null","Andre Ellington","RB","ARI","RB","ARI","-95.432","57.752","null","192.7","302","73","null","null","1.392","216.57","85.43","1","67.8188","48.2886","7.4758","null",
"2543828","null","Quincy Enunwa","WR","NYJ","WR","NYJ","-95.7163","56.7026","null","null","303","97","null","null","2.5957","null","null","0","72.6707","40.4","6.6255","null",
"2550268","null","Charcandrick West","RB","KC","RB","KC","-96.6443","56.5397","null","183.5","304","74","null","null","0.6592","179.06","124.94","2","76.6982","37.7496","5.9779","null",
"2555364","null","Tyler Higbee","TE","LA","TE","LA","-96.7133","51.5854","null","195.3","305","41","null","null","0.1403","205.02","99.98","1","67.9941","1.1","9.7811","null",
"2539995","null","Mychal Rivera","TE","OAK","TE","OAK","-96.756","51.5427","null","null","306","42","null","null","0.9377","null","null","1","66.5205","37.2097","6.6883","null",
"2553895","null","Adam Humphries","WR","TB","WR","TB","-96.791","55.6278","null","null","307","98","null","null","3.6735","null","null","0","59.2891","46.45","4.8769","null",
"2541199","null","Luke Willson","TE","SEA","TE","SEA","-96.9512","51.3475","null","255.5","308","43","null","null","1.8812","null","null","0","70.9992","28.1189","7.1624","null",
"2507428","null","Mike Tolbert","RB","CAR","RB","CAR","-97.0037","56.1802","null","221","309","75","null","null","0.6481","null","null","0","60.6908","52.5498","4.2264","null",
"2543600","null","Alfred Blue","RB","HOU","RB","HOU","-97.6031","55.5808","null","209.6","310","76","null","null","1.714","218.93","91.07","2","75.2764","25.4644","5.2176","null",
"2539663","null","Mike Gillislee","RB","BUF","RB","BUF","-97.7006","55.4834","null","196.1","311","77","null","null","3.4794","236.27","74.73","1","80.4855","24.29","5.8477","7",
"2507463","null","Connor Barth","K","NO","K","NO","-98.3345","58.6943","null","null","312","34","null","null","20.8319","207.74","104.26","0","101.7539","0","8.3447","4",
"2552399","null","Jeff Heuerman","TE","DEN","TE","DEN","-98.4361","49.8625","null","277","313","44","null","null","0.8875","null","null","1","65.3197","33.2949","6.8839","null",
"497238","null","Jermaine Gresham","TE","ARI","TE","ARI","-99.2287","49.07","null","null","314","45","null","null","0.3032","null","null","2","59.9041","32.48","6.3446","null",
"2541834","null","Josh Hill","TE","NO","TE","NO","-99.4187","48.88","null","null","315","46","null","null","0.773","null","null","0","68.6254","26.7","5.9406","null",
"2552468","null","Maxx Williams","TE","BAL","TE","BAL","-99.6451","48.6536","null","204.6","316","47","null","null","3.8946","null","null","1","61.5252","34.28","5.0737","null",
"2508097","null","Andrew Hawkins","WR","CLE","WR","CLE","-99.833","52.5858","null","null","317","99","null","null","1.9503","null","null","0","67.9201","26.82","6.8906","null",
"2540232","null","Jack Doyle","TE","IND","TE","IND","-100.7383","47.5603","null","null","318","48","null","null","6.2044","null","null","0","80.6175","23.4102","7.6397","4",
"284","null","Darren McFadden","RB","DAL","RB","DAL","-100.9338","52.2502","null","170.9","319","78","null","null","0.9483","null","null","2","81.0373","5.6639","7.5447","8",
"2553467","null","Quan Bray","WR","IND","WR","IND","-101.0959","51.3229","null","null","320","100","null","null","2.0814","null","null","0","80.1044","20.89","8.4222","5",
